Earthx Earthy Earthz Sunx Suny Sunz 
-0.754306 -0.656549 0 0 0 0 
-0.750166 -0.661275 0 0 0 0 
-0.745997 -0.665976 0 0 0 0 
-0.741798 -0.670649 0 0 0 0 
-0.737569 -0.675297 0 0 0 0 
-0.733312 -0.679918 0 0 0 0 
-0.729025 -0.684512 0 0 0 0 
-0.72471 -0.689078 0 0 0 0 
-0.720366 -0.693618 0 0 0 0 
-0.715994 -0.69813 0 0 0 0 
-0.711594 -0.702615 0 0 0 0 
-0.707165 -0.707072 0 0 0 0 
-0.702709 -0.711501 0 0 0 0 
-0.698224 -0.715902 0 0 0 0 
-0.693713 -0.720275 0 0 0 0 
-0.689173 -0.72462 0 0 0 0 
-0.684607 -0.728935 0 0 0 0 
-0.680014 -0.733222 0 0 0 0 
-0.675393 -0.73748 0 0 0 0 
-0.670746 -0.741709 0 0 0 0 
-0.666073 -0.745909 0 0 0 0 
-0.661373 -0.750079 0 0 0 0 
-0.656647 -0.754219 0 0 0 0 
-0.651896 -0.75833 0 0 0 0 
-0.647118 -0.762411 0 0 0 0 
-0.642315 -0.766462 0 0 0 0 
-0.637487 -0.770482 0 0 0 0 
-0.632633 -0.774472 0 0 0 0 
-0.627755 -0.778432 0 0 0 0 
-0.622851 -0.782361 0 0 0 0 
-0.617924 -0.786258 0 0 0 0 
-0.612971 -0.790125 0 0 0 0 
-0.607995 -0.793961 0 0 0 0 
-0.602994 -0.797765 0 0 0 0 
-0.59797 -0.801538 0 0 0 0 
-0.592922 -0.805279 0 0 0 0 
-0.587851 -0.808989 0 0 0 0 
-0.582756 -0.812666 0 0 0 0 
-0.577639 -0.816312 0 0 0 0 
-0.572499 -0.819925 0 0 0 0 
-0.567336 -0.823505 0 0 0 0 
-0.56215 -0.827054 0 0 0 0 
-0.556943 -0.830569 0 0 0 0 
-0.551713 -0.834052 0 0 0 0 
-0.546462 -0.837502 0 0 0 0 
-0.541189 -0.840919 0 0 0 0 
-0.535895 -0.844303 0 0 0 0 
-0.53058 -0.847653 0 0 0 0 
-0.525243 -0.85097 0 0 0 0 
-0.519886 -0.854253 0 0 0 0 
-0.514509 -0.857503 0 0 0 0 
-0.509111 -0.860718 0 0 0 0 
-0.503693 -0.8639 0 0 0 0 
-0.498255 -0.867048 0 0 0 0 
-0.492798 -0.870161 0 0 0 0 
-0.487321 -0.87324 0 0 0 0 
-0.481824 -0.876284 0 0 0 0 
-0.476309 -0.879294 0 0 0 0 
-0.470775 -0.88227 0 0 0 0 
-0.465223 -0.88521 0 0 0 0 
-0.459652 -0.888116 0 0 0 0 
-0.454062 -0.890986 0 0 0 0 
-0.448455 -0.893821 0 0 0 0 
-0.442831 -0.896621 0 0 0 0 
-0.437188 -0.899386 0 0 0 0 
